1,1,22,3,18,20,0,2,-8,-74.569,108.818,870.4,590.6,255.8
2,1,22,3,18,20,0,2,-8,-75.263,107.406,572.2,601.4,255.8
3,1,22,3,18,20,0,2,-8,-76.409,107.675,137.4,628.6,254.7
4,1,22,3,18,20,0,2,-8,-74.73,148.672,917.8,648.1,267.9
5,1,22,3,18,20,0,2,-8,-74.866,146.888,523.5,680,267.5
6,1,22,3,18,20,0,2,-8,-73.775,144.207,92.6,717.9,258.6
7,1,22,3,18,20,0,2,-8,-74.528,125.997,1091.7,575.3,258.2
8,1,22,3,18,20,0,2,-8,-74.802,124.017,586.7,609.6,260
9,1,22,3,18,20,0,2,-8,-75.303,121.854,102.4,653.2,257.8
1,1,22,3,18,19,0,1,-9,-74.149,109.592,859.5,596.4,256.3
2,1,22,3,18,19,0,1,-9,-74.86,107.951,549.8,608.7,256.6
3,1,22,3,18,19,0,1,-9,-76.147,107.913,135.5,631.2,255.8
4,1,22,3,18,19,0,1,-9,-75.345,147.743,1051.5,636.7,266.6
5,1,22,3,18,19,0,1,-9,-75.422,146.044,585.9,672.7,266.8
6,1,22,3,18,19,0,1,-9,-74.086,144.051,132,712.2,260.8
7,1,22,3,18,19,0,1,-9,-74.413,126.53,1159.2,570.9,257.8
8,1,22,3,18,19,0,1,-9,-74.629,124.433,612.3,609.8,260.1
9,1,22,3,18,19,0,1,-9,-75.117,121.982,102.9,653.4,258.5
1,1,22,3,18,18,0,0,-10,-73.721,110.467,827.5,604.2,257
2,1,22,3,18,18,0,0,-10,-74.467,108.704,509.2,621.2,257.7
3,1,22,3,18,18,0,0,-10,-75.881,108.298,124.5,636.5,257.1
4,1,22,3,18,18,0,0,-10,-75.952,146.412,1193.7,619.8,264.9
5,1,22,3,18,18,0,0,-10,-75.979,144.881,682.8,661.5,266.6
6,1,22,3,18,18,0,0,-10,-74.437,143.719,169.4,706.5,263.6
7,1,22,3,18,18,0,0,-10,-74.304,127.033,1206.2,570.2,257.7
8,1,22,3,18,18,0,0,-10,-74.457,124.896,622.3,611.5,260.4
9,1,22,3,18,18,0,0,-10,-74.911,122.204,103,653.1,259.4
1,1,22,3,18,17,0,1,-11,-73.28,111.478,801.9,610.5,257.8
2,1,22,3,18,17,0,1,-11,-74.077,109.634,464.9,629.7,258.9
3,1,22,3,18,17,0,1,-11,-75.618,108.83,104.4,643.3,258
4,1,22,3,18,17,0,1,-11,-76.541,144.672,1327.8,608.3,263.6
5,1,22,3,18,17,0,1,-11,-76.538,143.394,720.2,654.7,266.3
6,1,22,3,18,17,0,1,-11,-74.82,143.123,185,703.5,264.2
7,1,22,3,18,17,0,1,-11,-74.196,127.519,1231,569.9,257.8
8,1,22,3,18,17,0,1,-11,-74.288,125.39,632.1,611.7,260.6
9,1,22,3,18,17,0,1,-11,-74.695,122.532,105.1,652.8,259.8
1,1,22,3,18,16,0,2,-12,-72.851,112.659,780.8,617.2,258.6
2,1,22,3,18,16,0,2,-12,-73.689,110.712,418.8,638.2,260
3,1,22,3,18,16,0,2,-12,-75.374,109.464,82.2,649.4,258.9
4,1,22,3,18,16,0,2,-12,-77.078,142.564,1386.9,600.3,262.9
5,1,22,3,18,16,0,2,-12,-77.073,141.487,733.5,653.5,266.4
6,1,22,3,18,16,0,2,-12,-75.227,142.205,199.7,697,265.1
7,1,22,3,18,16,0,2,-12,-74.09,127.969,1243.5,569.9,257.9
8,1,22,3,18,16,0,2,-12,-74.122,125.881,655.5,610.2,260.7
9,1,22,3,18,16,0,2,-12,-74.474,122.966,110.5,652.5,260.1
1,1,22,3,18,15,0,3,-13,-72.42,113.989,796.2,618.5,258.8
2,1,22,3,18,15,0,3,-13,-73.315,111.951,402,644.1,260.7
3,1,22,3,18,15,0,3,-13,-75.139,110.17,59.6,655.9,259.8
4,1,22,3,18,15,0,3,-13,-77.557,140.129,1447,596.6,262.7
5,1,22,3,18,15,0,3,-13,-77.531,139.096,780.2,647.4,266.5
6,1,22,3,18,15,0,3,-13,-75.636,140.923,231.3,693,264.4
7,1,22,3,18,15,0,3,-13,-73.997,128.36,1244.7,570.2,258.2
8,1,22,3,18,15,0,3,-13,-73.954,126.342,692.5,609.6,260.8
9,1,22,3,18,15,0,3,-13,-74.252,123.472,116.8,653.3,259.9
1,1,22,3,18,14,0,2,-14,-71.984,115.429,788.5,626.1,259.7
2,1,22,3,18,14,0,2,-14,-72.95,113.324,418.1,645.3,261
3,1,22,3,18,14,0,2,-14,-74.929,110.906,46.9,661.9,260.4
4,1,22,3,18,14,0,2,-14,-77.933,137.322,1490.4,589.4,262.2
5,1,22,3,18,14,0,2,-14,-77.902,136.245,827.1,640.4,266.3
6,1,22,3,18,14,0,2,-14,-75.988,139.39,290.9,682.9,264.2
7,1,22,3,18,14,0,2,-14,-73.898,128.672,1239.8,571.2,258.4
8,1,22,3,18,14,0,2,-14,-73.775,126.755,735.4,608.9,260.9
9,1,22,3,18,14,0,2,-14,-74.041,124.02,120.3,655,259.5
1,1,22,3,18,13,0,1,-15,-71.578,116.905,748.9,638.7,260.7
2,1,22,3,18,13,0,1,-15,-72.589,114.708,437.9,646.5,261.4
3,1,22,3,18,13,0,1,-15,-74.748,111.661,41.1,665.3,260.8
4,1,22,3,18,13,0,1,-15,-78.246,134.249,1516.6,583.7,261.8
5,1,22,3,18,13,0,1,-15,-78.203,133.005,902.5,625.4,265
6,1,22,3,18,13,0,1,-15,-76.253,137.725,352.9,675.4,264.1
7,1,22,3,18,13,0,1,-15,-73.771,128.903,1238.1,571.9,258.6
8,1,22,3,18,13,0,1,-15,-73.574,127.163,767,608,261
9,1,22,3,18,13,0,1,-15,-73.842,124.595,122.9,656.6,259.7
1,1,22,3,18,12,0,0,-16,-71.205,118.379,722.8,644.9,261.1
2,1,22,3,18,12,0,0,-16,-72.238,116.079,434.7,653.3,262
3,1,22,3,18,12,0,0,-16,-74.573,112.452,39.6,668.4,261.2
4,1,22,3,18,12,0,0,-16,-78.493,130.722,1607.5,565.9,260.2
5,1,22,3,18,12,0,0,-16,-78.394,129.439,1053.2,602.7,263.1
6,1,22,3,18,12,0,0,-16,-76.481,135.919,424.7,666.8,264
7,1,22,3,18,12,0,0,-16,-73.611,129.064,1246,572.1,258.7
8,1,22,3,18,12,0,0,-16,-73.344,127.59,790.2,606.9,261.1
9,1,22,3,18,12,0,0,-16,-73.643,125.164,131.1,657.6,260
1,1,22,3,18,11,0,1,-17,-70.835,119.89,722.4,652.2,261.7
2,1,22,3,18,11,0,1,-17,-71.912,117.424,427.2,659.9,262.5
3,1,22,3,18,11,0,1,-17,-74.394,113.244,40.8,669.7,261.2
4,1,22,3,18,11,0,1,-17,-78.58,126.961,1709.9,548.6,258.5
5,1,22,3,18,11,0,1,-17,-78.453,125.779,1174.4,585,261.4
6,1,22,3,18,11,0,1,-17,-76.684,133.884,493.2,659.1,265.3
7,1,22,3,18,11,0,1,-17,-73.427,129.229,1268,571.1,258.7
8,1,22,3,18,11,0,1,-17,-73.097,128.052,818.8,605.2,261.1
